province,year,gdp
重庆市	,2013,13275.8
四川省	,2013,26858.4
贵州省	,2013,8079.9
云南省	,2013,13027.0
西藏自治区	,2013,840.3
陕西省	,2013,16106.3
甘肃省	,2013,6108.3
青海省	,2013,1736.1
宁夏回族自治区	,2013,2364.9
新疆维吾尔自治区	,2013,8518.4
北京市	,2012,19568.3
天津市	,2012,9193.0
河北省	,2012,23437.3
山西省	,2012,11819.7
内蒙古自治区	,2012,10638.9
辽宁省	,2012,18127.6
吉林省	,2012,8831.3
黑龙江省	,2012,11171.0
上海市	,2012,21774.9
江苏省	,2012,54658.4
浙江省	,2012,34978.5
安徽省	,2012,18613.7
福建省	,2012,20510.8
江西省	,2012,12952.8
山东省	,2012,43584.3
河南省	,2012,28878.5
湖北省	,2012,22921.0
湖南省	,2012,21513.7
广东省	,2012,58057.6
广西壮族自治区	,2012,11496.6
海南省	,2012,2863.6
重庆市	,2012,11797.8
四川省	,2012,24224.9
贵州省	,2012,6828.1
云南省	,2012,11266.3
西藏自治区	,2012,721.1
陕西省	,2012,14311.5
甘肃省	,2012,5469.1
青海省	,2012,1547.9
宁夏回族自治区	,2012,2162.0
新疆维吾尔自治区	,2012,7499.5
北京市	,2011,17653.3
天津市	,2011,8240.8
河北省	,2011,21711.7
山西省	,2011,11005.1
内蒙古自治区	,2011,9610.8
辽宁省	,2011,16585.3
吉林省	,2011,7857.7
黑龙江省	,2011,10074.0
上海市	,2011,20406.1
江苏省	,2011,49689.5
浙江省	,2011,32353.1
安徽省	,2011,16532.7
福建省	,2011,18195.2
江西省	,2011,11717.4
山东省	,2011,39622.0
河南省	,2011,26212.2
湖北省	,2011,20228.3
湖南省	,2011,19176.4
广东省	,2011,54009.6
广西壮族自治区	,2011,10472.7
海南省	,2011,2525.1
重庆市	,2011,10314.1
四川省	,2011,21313.1
贵州省	,2011,5690.5
云南省	,2011,9666.2
西藏自治区	,2011,620.8
陕西省	,2011,12320.1
甘肃省	,2011,4880.7
青海省	,2011,1388.3
宁夏回族自治区	,2011,1959.3
新疆维吾尔自治区	,2011,6607.6
