code,year,stknme,FS_Combas-A001101000,FS_Combas-A001000000,FS_Combas-A002101000,FS_Combas-A002100000,FS_Combas-A002201000,FS_Combas-A002200000,FS_Combas-A002000000,FS_Combas-A003000000
000502,2000,绿景退,564842.65,428848445.99,62990455.0,165150433.77,0.0,282360.0,165432793.77,263415652.22
000503,2000,国新健康,88294662.24,967103642.4,153782955.0,267153003.57,190396300.0,193396300.0,460549303.57,506554338.83
000504,2000,*ST 生物,11524408.34,597048948.6,58638553.8,210299770.29,0.0,1000000.0,211299770.29,385749178.31
000505,2000,京粮控股,66902306.01,804014293.6,197162122.22,338751408.72,0.0,1185506.96,339936915.68,464077377.92
000506,2000,*ST 中润,40557037.07,727033513.09,226888944.87,447657367.89,0.0,31997.57,447689365.46,279344147.63
000507,2000,珠海港,200492824.78,1133731277.25,38637300.0,168910055.54,32180000.0,32180000.0,201090055.54,932641221.71
000508,2000,琼民源A,,,,,,,,
000509,2000,华塑控股,153495057.97,686734973.65,184420000.0,302237351.23,5800000.0,7693242.21,309930593.44,376804380.21
000510,2000,新金路,126984619.37,1001453494.7,121386790.0,373437812.29,51545000.0,42680546.4,416118358.69,585335136.01
000511,2000,烯碳退,404328450.53,1417785858.82,22000000.0,528036470.85,0.0,0.0,528036470.85,889749387.97
000513,2000,丽珠集团,110022836.02,1588290694.11,173490000.0,530716573.49,50520000.0,50520000.0,581236573.49,1007054120.62
000514,2000,渝开发,6612148.65,497659239.54,182800000.0,272950604.8,40730000.0,42585650.0,315536254.8,182122984.74
000515,2000,攀渝钛业,73713409.26,714613322.83,28936560.58,292047679.2,146776288.67,204730209.24,496777888.44,217835434.39
000516,2000,国际医学,126647553.35,635785503.27,0.0,173741611.32,170000000.0,207336974.63,381078585.95,254706917.32
000517,2000,荣安地产,195397990.88,570706203.43,268300000.0,305491695.26,0.0,0.0,305491695.26,265214508.17
000518,2000,*ST 四环,26584817.3,274672391.51,25650000.0,69682957.42,0.0,155931.95,69838889.37,204833502.14
000519,2000,中兵红箭,40271774.74,397504771.31,84750000.0,141026184.92,47100000.0,47100000.0,188126184.92,209378586.39
000520,2000,凤凰航运,221839311.02,1386633792.81,0.0,127457653.37,0.0,0.0,127457653.37,1259176139.44
000521,2000,长虹美菱,166089037.45,2526682141.54,358360000.0,1110251624.07,38920000.0,38920000.0,1149171624.07,1377510517.47
000522,2000,白云山A,19688689.53,1801117337.04,1039299669.33,1736783670.1,0.0,10922325.12,1747705995.22,53411341.82
000523,2000,红棉股份,127652627.93,649289756.09,40000000.0,123178285.75,0.0,17842806.27,141021092.02,508268664.07
000524,2000,岭南控股,125218920.98,801668798.23,0.0,83553034.16,0.0,28599701.1,112152735.26,689516062.97
000525,2000,ST 红太阳,302730082.1,634380381.56,128750000.0,193659148.63,0.0,590234.17,194249382.8,440130998.76
000526,2000,学大教育,17894548.77,227445135.39,14700000.0,44426975.46,20000000.0,20000000.0,64426975.46,163018159.93
000527,2000,美的电器,285539149.73,7174086415.56,800000000.0,4350357155.64,400000000.0,468944813.59,4819301969.23,2354784446.33
000528,2000,柳工,81657744.55,1205027128.23,198180000.0,435482457.41,49126757.0,49698257.0,485180714.41,719846413.82
000529,2000,广弘控股,112161694.4,2746059720.9,683103450.0,821348980.29,212502600.0,267330336.76,1088679317.05,1657380403.85
000530,2000,冰山冷热,340556015.76,1767519306.58,266850000.0,637908707.94,0.0,0.0,637908707.94,1129610598.64
000531,2000,穗恒运A,121024879.45,1442024259.15,153400000.0,455762256.37,140000000.0,147681522.58,603443778.95,838580480.2
000532,2000,华金资本,99030942.35,410388441.63,20000000.0,27966608.38,0.0,397786.08,28364394.46,382024047.17
000533,2000,顺钠股份,494288211.19,3696908330.53,1399656670.0,2027066046.15,188676995.05,199628005.74,2226694051.89,1470214278.64
000534,2000,万泽股份,104260035.38,571016140.72,0.0,28281826.72,0.0,38421.51,28320248.23,542695892.49
000535,2000,*ST 猴王,1040121.11,470235996.03,457885334.0,794748558.24,50650000.0,52059329.53,846807887.77,-376571891.74
000536,2000,华映科技,7772026.29,377061649.39,226499867.07,411973340.81,0.0,0.0,411973340.81,-34911691.42
000537,2000,中绿电,350404336.49,1148168943.63,222972222.0,313783594.54,0.0,8730387.07,322513981.61,825654962.02
000538,2000,云南白药,136215241.29,792850527.31,93800000.0,346985079.44,10200000.0,18275000.0,365260079.44,427590447.87
000539,2000,粤电力A,1573505139.0,11299123769.9,200000000.0,1406988103.91,2720000000.0,2645621810.9,4052609914.81,7246513855.09
000540,2000,*ST 中天,315389015.37,1082508597.83,2745000.0,436928263.71,202634220.89,209709401.04,646637664.75,435870933.08
000541,2000,佛山照明,1017583534.2,2171997490.15,0.0,288748128.05,0.0,0.0,288748128.05,1883249362.1
000542,2000,TCL通讯,144009350.76,1090892510.42,171397295.6,578601938.89,10883187.53,10940747.43,589542686.32,501349824.1
000543,2000,皖能电力,211964644.2,2790321817.13,20080000.0,372943921.72,0.0,61960295.72,434904217.44,2355417599.69
000544,2000,中原环保,103505831.4,1275388293.9,366160796.0,843109074.82,87609217.6,123293607.9,966402682.72,308985611.18
000545,2000,金浦钛业,10266401.03,340642077.51,93783500.0,163576667.39,14000000.0,14000000.0,177576667.39,163065410.12
000546,2000,金圆股份,3002709.62,396024004.95,253953781.99,487843839.03,0.0,1323079.74,489166918.77,-93142913.82
000547,2000,航天发展,138926027.98,996927913.79,465900000.0,566465633.04,0.0,3206776.14,569672409.18,427255504.61
000548,2000,湖南投资,145290236.15,807397040.36,135200000.0,209148578.4,21472306.01,51305743.12,260454321.52,546942718.84
000549,2000,S 湘火炬,1077370914.38,2308094685.99,643578978.06,1228946366.62,16324007.58,16887895.12,1245834261.74,1062260424.25
000550,2000,江铃汽车,760768934.85,4302038522.66,519370000.0,1482178778.09,1191949575.06,1104457761.25,2586636539.34,1715401983.32
000551,2000,创元科技,223853868.26,1197238183.8,211419906.09,615523397.87,18900000.0,39161959.0,654685356.87,542552826.93
000552,2000,甘肃能化,16331065.95,520333328.41,72921910.0,278579896.15,0.0,1864934.82,280444830.97,239888497.44
000553,2000,安道麦A,542644340.66,1897377517.05,366949930.0,658887305.68,176990000.0,186684626.38,845571932.06,1051805584.99
000554,2000,泰山石油,144373947.31,1197169139.85,61600000.0,444700752.58,0.0,-50437041.98,394263710.6,802905429.25
000555,2000,神州信息,12522908.22,114498048.89,6250000.0,11063962.32,0.0,747652.25,11811614.57,102686434.32
000556,2000,PT 南洋,550441.92,207311520.13,78234072.14,247167605.59,0.0,182411597.93,429579203.52,-222267683.39
000557,2000,西部创业,555000221.32,3151295340.92,931888925.12,1461105433.24,247572686.0,338888125.34,1799993558.58,1351301782.34
000558,2000,天府文旅,35343187.0,531812820.91,81040000.0,348947626.12,18542944.0,18542944.0,367490570.12,164322250.79
000559,2000,万向钱潮,177554442.69,1592732879.67,121960000.0,550278697.12,0.0,15712891.56,565991588.68,1026741290.99
000560,2000,我爱我家,75628375.49,1102393818.49,511850000.0,831453024.16,90144359.16,93144359.16,924597383.32,177796435.17
000561,2000,烽火电子,45123751.81,1648605753.83,152857200.0,811750739.51,2350000.0,2750000.0,814500739.51,834105014.32
000562,2000,宏源证券,1786735500.65,5092419601.87,319000000.0,,50000000.0,,4446282047.3,646137554.57
000563,2000,陕国投A,1600219935.78,3618322867.13,,,80000000.0,,3100270757.16,518052109.97
000564,2000,供销大集,42401199.36,991703998.74,98800000.0,301657552.88,126000000.0,145146866.86,446804419.74,544899579.0
000565,2000,渝三峡A,107130269.45,482445942.45,80120000.0,117489474.19,0.0,498825.49,117988299.68,364457642.77
000566,2000,海南海药,11507354.36,885584043.55,29320694.44,139942233.2,49172488.45,536998519.11,676940752.31,208643291.24
000567,2000,海德股份,396489.11,425145728.97,120995207.17,268034923.98,0.0,0.0,268034923.98,157110804.99
000568,2000,泸州老窖,174952746.78,2038171431.77,136650000.0,380903658.71,324000000.0,326030478.61,706934137.32,1331237294.45
000569,2000,长城股份,111861599.9,2266219083.31,78005000.0,1440136914.39,2950000.0,27047734.25,1467184648.64,799034434.67
000570,2000,苏常柴A,252990622.0,3574547384.0,606310000.0,1609673474.0,153000000.0,150392515.0,1760065989.0,1814481395.0
000571,2000,新大洲A,304435375.19,2911717294.62,407000000.0,1542251021.64,256452560.0,256611299.13,1798862320.77,1112854973.85
000572,2000,海马汽车,45504104.96,913255999.57,231340000.0,578206574.89,71171268.33,71171268.33,649377843.22,263878156.35
000573,2000,粤宏远A,74511640.17,2270217401.18,618160000.0,729455953.52,120000000.0,120000000.0,849455953.52,1420761447.66
000576,2000,甘化科工,108070208.88,1663512918.44,249410000.0,555727196.6,101706036.86,131105546.86,686832743.46,976680174.98
000578,2000,盐湖集团,38909693.38,628021448.66,194750000.0,284851392.39,50000000.0,52526785.57,337378177.96,290643270.7
000581,2000,威孚高科,707708064.95,1992760589.74,51500000.0,327737831.11,1500000.0,1500000.0,329237831.11,1663522758.63
000582,2000,北部湾港,103119034.89,935749462.16,38000000.0,258918355.9,83101303.57,139526095.1,398444451.0,537305011.16
000583,2000,S*ST 托普,970102591.0,1893163327.86,98220000.0,443187136.26,17163835.4,137589645.09,580776781.35,1312386546.51
