code,year,stknme,AnaAttention,Audittyp,InternationalBig4,Ysmvosd,Ysmvttl,Yretwd,PropertyRightsNature,Seperation,ActualControllerNatureID,OwnershipProportion,ControlProportion,Shrcr1,Shrhfd5,Shrz,FundHoldProportion,QFIIHoldProportion,BrokerHoldProportion,BankHoldProportion,NonFinanceHoldProportion,InsInvestorProp,StaffNumber,ConcurrentPosition,Boardsize2,ExecutivesNumber,IndDirector,SumSalary,TOP3SumSalary,Ynshrtrd,DirectorHoldshares,ManageHoldshares
1.0,2010,平安银行,4.394449,标准无保留意见,1.0,49033610.89,55028367.3,-0.352072,0.0,11.3089,1230,4.8211,16.13,14.9632,0.036849,1.3738,13.5748,,1.33,,,51.1848,12203.0,0.0,15.0,5.0,5.0,29650000.0,18950000.0,7311625122,1484.0,1484.0
1.0,2011,平安银行,3.931826,标准无保留意见,1.0,48412541.7,79873032.99,-0.012666,0.0,7.427,1230,8.153,15.58,42.1562,0.184405,5.69,11.5215,,0.93,,,69.0515,13778.0,0.0,18.0,6.0,8.0,40500000.0,21930000.0,5714947128,1484.0,1484.0
1.0,2012,平安银行,3.663562,标准无保留意见,1.0,49747835.51,82076073.66,0.035233,0.0,5.8825,1230,6.4575,12.34,42.1562,0.18446,5.69,9.4393,,1.88,,,66.2093,24251.0,0.0,18.0,8.0,8.0,45950000.0,15980000.0,4286576838,1484.0,2350.0
1.0,2013,平安银行,3.73767,标准无保留意见,1.0,68304797.97,100417668.15,0.235097,0.0,5.9212,1230,7.5788,13.5,58.3002,0.346891,7.869,8.3368,0.42,,,,69.6368,34724.0,0.0,18.0,10.0,8.0,68212500.0,22505600.0,17715171071,2374.0,3760.0
1.0,2014,平安银行,3.637586,标准无保留意见,1.0,155813520.46,180970333.43,0.57298,0.0,4.5439,1230,6.3661,10.91,50.1965,0.257332,7.869,6.6988,0.36,,,,68.1988,35069.0,0.0,15.0,11.0,5.0,71928200.0,22569300.0,21455238348,2849.0,20301.0
1.0,2015,平安银行,3.295837,标准无保留意见,1.0,141530614.4,171561026.91,-0.083704,0.0,4.0318,1230,5.5582,9.59,49.5649,0.250983,8.1094,4.4785,,2.99,,,68.7285,37937.0,0.0,14.0,9.0,5.0,60064600.0,21159800.0,36620106027,3420.0,24361.0
1.0,2016,平安银行,3.295837,标准无保留意见,1.0,133143741.52,156250743.43,-0.075692,0.0,4.0318,1230,5.5582,9.59,49.5649,0.250857,8.1094,3.9516,,3.31,,,68.1916,36885.0,,11.0,6.0,4.0,38013700.0,15211100.0,12636100958,4104.0,29233.0
1.0,2017,平安银行,3.583519,标准无保留意见,1.0,225009262.36,228366471.17,0.482743,0.0,4.0696,1230,5.6104,9.68,49.5649,0.251185,8.1094,5.2359,,2.85,,,71.2559,32502.0,0.0,14.0,4.0,5.0,27580400.0,12952800.0,22581345389,4104.0,6498.0
1.0,2018,平安银行,3.401197,标准无保留意见,1.0,161056914.73,161058458.61,-0.283936,0.0,3.8636,1230,5.3264,9.19,49.5649,0.251173,8.1094,3.2808,,2.5,,,69.1908,34626.0,0.0,14.0,4.0,5.0,35946300.0,13253100.0,27663556744,4104.0,12498.0
1.0,2019,平安银行,3.78419,标准无保留意见,1.0,319224631.59,319227354.36,0.772751,0.0,3.7711,1230,5.1989,8.97,49.565,0.256419,6.3936,4.6884,,2.21,,,75.4084,34253.0,0.0,13.0,5.0,5.0,29823500.0,12549200.0,24879393091,10104.0,10104.0
