code,listing_year,industry
002227,2008,C
002228,2008,C
002229,2008,C
002230,2008,G
002231,2008,G
002232,2008,G
002233,2008,C
002234,2008,A
002235,2008,C
002236,2008,C
002237,2008,C
002238,2008,L
002239,2008,C
002240,2008,C
002241,2008,C
002242,2008,C
002243,2008,C
002244,2008,J
002245,2008,K
002246,2008,C
002247,2008,C
002248,2008,C
002249,2008,C
002250,2008,C
002251,2008,H
002252,2008,C
002253,2008,G
002254,2008,C
002255,2008,C
002256,2008,C
002258,2008,C
002259,2008,C
002260,2008,C
002261,2008,G
002262,2008,H
002263,2008,C
002264,2008,H
002265,2008,C
002266,2008,C
002267,2008,D
002268,2008,G
002269,2008,H
002270,2008,C
002271,2008,C
002272,2008,C
002273,2008,C
002274,2008,C
002275,2009,C
002276,2009,C
002277,2009,H
002278,2009,C
002279,2009,G
002280,2009,G
002281,2009,G
002282,2009,C
002283,2009,C
002284,2009,C
002285,2009,J
002286,2009,C
002287,2009,C
002288,2009,C
002289,2009,C
002290,2009,C
002291,2009,C
002292,2009,C
002293,2009,C
002294,2009,C
002295,2009,C
002296,2009,G
002297,2009,C
002298,2009,C
002299,2009,A
002300,2009,C
002301,2009,C
002302,2009,C
002303,2009,C
002304,2009,C
002305,2009,J
002306,2009,K
002307,2009,E
002308,2009,G
002309,2009,C
002310,2009,E
002311,2009,C
002312,2009,G
002313,2009,G
002314,2009,C
002315,2009,G
002316,2009,G
002317,2009,C
002318,2009,C
002319,2009,C
002320,2009,F
002321,2009,A
002322,2009,C
002323,2009,C
002324,2009,C
002325,2009,E
002326,2009,C
002327,2009,C
002328,2009,C
002329,2010,C
002330,2010,C
002331,2010,G
002332,2010,C
002333,2010,C
002334,2010,C
002335,2010,C
002336,2010,H
002337,2010,C
002338,2010,C
002339,2010,G
002340,2010,B
002341,2010,C
002342,2010,C
002343,2010,C
002344,2010,M
002345,2010,C
002346,2010,C
002347,2010,C
002348,2010,C
002349,2010,C
002350,2010,C
002351,2010,C
002352,2010,C
002353,2010,B
002354,2010,C
002355,2010,C
002356,2010,C
002357,2010,F
002358,2010,C
002359,2010,C
002360,2010,C
002361,2010,C
002362,2010,G
002363,2010,C
002364,2010,C
002365,2010,C
002366,2010,C
002367,2010,C
002368,2010,G
002369,2010,C
002370,2010,C
002371,2010,C
002372,2010,C
002373,2010,G
002374,2010,C
002375,2010,E
002376,2010,G
002377,2010,C
002378,2010,C
002379,2010,C
002380,2010,C
002381,2010,C
002382,2010,C
002383,2010,G
002384,2010,C
002385,2010,C
002386,2010,C
002387,2010,C
002388,2010,C
002389,2010,C
002390,2010,C
002391,2010,C
002392,2010,C
002393,2010,C
002394,2010,C
002395,2010,C
002396,2010,G
002397,2010,C
002398,2010,C
002399,2010,C
002400,2010,K
002401,2010,G
002402,2010,C
002403,2010,C
002404,2010,C
002405,2010,G
002406,2010,C
002407,2010,C
002408,2010,C
002409,2010,C
002410,2010,G
002411,2010,C
002412,2010,C
002413,2010,C
002414,2010,C
002415,2010,C
002416,2010,G
002417,2010,G
002418,2010,C
002419,2010,H
002420,2010,C
002421,2010,G
002422,2010,C
002423,2010,C
002424,2010,C
002425,2010,C
002426,2010,C
002427,2010,C
002428,2010,C
002429,2010,C
002430,2010,C
002431,2010,E
002432,2010,C
002433,2010,C
002434,2010,C
002435,2010,C
002436,2010,C
002437,2010,C
002438,2010,C
002439,2010,G
002440,2010,C
002441,2010,H
002442,2010,C
002443,2010,C
002444,2010,C
002445,2010,C
002446,2010,G
002447,2010,A
002448,2010,C
002449,2010,C
002450,2010,C
002451,2010,C
002452,2010,C
002453,2010,C
002454,2010,C
002455,2010,C
002456,2010,C
002457,2010,C
002458,2010,A
002459,2010,C
002460,2010,C
002461,2010,C
002462,2010,H
002463,2010,C
002464,2010,C
002465,2010,G
002466,2010,C
002467,2010,G
002468,2010,C
002469,2010,K
002470,2010,C
002471,2010,C
002472,2010,C
002473,2010,C
002474,2010,G
002475,2010,C
002476,2010,C
002477,2010,A
002478,2010,C
002479,2010,D
002480,2010,C
002481,2010,C
002482,2010,E
002483,2010,C
002484,2010,C
002485,2010,C
002486,2010,C
002487,2010,C
002488,2010,C
002489,2010,C
002490,2004,C
002491,2010,G
002492,2010,F
002493,2010,C
002494,2010,C
002495,2010,C
002496,2010,C
002497,2010,C
002498,2010,C
002499,2010,C
002500,2010,I
002501,2010,C
002502,2010,C
002503,2010,H
002504,2010,C
002505,2010,A
002506,2010,C
002507,2010,C
002508,2010,C
002509,2010,C
002510,2010,C
002511,2010,C
002512,2010,C
002513,2010,C
002514,2010,C
002515,2010,C
002516,2010,C
002517,2010,C
002518,2010,C
002519,2010,G
002520,2010,C
002521,2010,C
002522,2010,C
002523,2010,C
002524,2010,C
002526,2010,C
002527,2010,C
002528,2010,C
002529,2010,C
002530,2010,C
002531,2010,C
002532,2010,C
002533,2010,C
002534,2011,C
002535,2011,C
002536,2011,C
002537,2011,C
002538,2011,C
002539,2011,C
002540,2011,C
002541,2011,C
002542,2011,E
002543,2011,C
002544,2011,G
002545,2011,C
002546,2011,C
002547,2011,C
002548,2011,C
002549,2011,C
002550,2011,C
002551,2011,C
002552,2011,C
002553,2011,C
002554,2011,B
002555,2011,C
002556,2011,H
002557,2011,C
002558,2011,K
002559,2011,C
002560,2011,C
002561,2011,H
002562,2011,C
002563,2011,H
002564,2011,C
002565,2011,C
002566,2011,C
002567,2011,C
002568,2011,C
002569,2011,C
002570,2011,C
002571,2011,C
002572,2011,C
002573,2011,K
002574,2011,C
002575,2011,C
002576,2011,C
002577,2011,G
002578,2011,C
002579,2011,C
002580,2011,C
002581,2011,C
002582,2011,C
002583,2011,G
002584,2011,C
002585,2011,C
002586,2011,E
002587,2011,C
002588,2011,C
002589,2011,H
002590,2011,C
002591,2011,C
002592,2011,C
002593,2011,C
002594,2002,C
002595,2011,C
002596,2011,C
002597,2011,C
002598,2011,C
002599,2011,C
002600,2011,C
002601,2011,C
002602,2011,C
002603,2011,C
002604,2011,C
002605,2011,C
002606,2011,C
002607,2011,H
002608,2011,C
002609,2011,G
002610,2011,C
002611,2011,C
002612,2011,C
002613,2011,C
002614,2011,C
002615,2011,C
002616,2011,C
002617,2011,C
002618,2011,C
002619,2011,C
002620,2011,E
002621,2011,C
002622,2011,C
002623,2011,C
002624,2011,C
002625,2011,C
002626,2011,C
002627,2011,F
002628,2011,E
002629,2011,B
002630,2011,C
