code,listing_year
1236.0,2015
1238.0,2022
1239.0,2023
1255.0,2022
1256.0,2022
1258.0,2022
1259.0,2022
1260.0,2023
1266.0,2022
1267.0,2021
1268.0,2022
1269.0,2022
1270.0,2022
1277.0,2024
1278.0,2023
1282.0,2023
1283.0,2022
1286.0,2023
1287.0,2023
1288.0,2021
1289.0,2009
1296.0,2021
1298.0,2022
1299.0,2022
1300.0,2022
1301.0,2022
1306.0,2023
1308.0,2022
1309.0,2022
1311.0,2023
1313.0,2022
1314.0,2023
1316.0,2022
1317.0,2021
1318.0,2022
1319.0,2022
1322.0,2022
1323.0,2022
1324.0,2023
1326.0,2023
1328.0,2023
1330.0,2022
1331.0,2022
1332.0,2022
1333.0,2022
1336.0,2022
1337.0,2023
1338.0,2022
1339.0,2022
1358.0,2023
1359.0,2024
1360.0,2023
1366.0,2023
1367.0,2023
1368.0,2023
1373.0,2023
1376.0,2023
1378.0,2023
1379.0,2024
1380.0,2023
1387.0,2024
1389.0,2024
1391.0,2024
1696.0,1997
1872.0,1993
1896.0,1998
1914.0,1994
1965.0,2017
1979.0,2015
2001.0,2004
2002.0,2004
2003.0,2004
2004.0,2004
2005.0,2004
2006.0,2004
2007.0,2004
2008.0,2004
2009.0,2004
2010.0,2004
2011.0,2004
2012.0,2004
2013.0,2004
2014.0,2004
2015.0,2004
2016.0,2004
2017.0,2004
2018.0,2004
2019.0,2004
2020.0,2004
2021.0,2004
2022.0,2004
2023.0,2004
2024.0,2004
2025.0,2004
2026.0,2004
2027.0,2004
2028.0,2004
2029.0,2004
2030.0,2004
2031.0,2004
2032.0,2004
2033.0,2004
2034.0,2004
2035.0,2004
2036.0,2004
2037.0,2004
2038.0,2004
2039.0,2005
2040.0,2005
2041.0,2005
2042.0,2005
2043.0,2005
2044.0,2005
2045.0,2005
2046.0,2005
2047.0,2005
2048.0,2005
2049.0,2005
2050.0,2005
2051.0,2006
2052.0,2006
2053.0,2006
2054.0,2006
2055.0,2006
2056.0,2006
2057.0,2006
2058.0,2006
2059.0,2006
2060.0,2006
2061.0,2006
2062.0,2006
2063.0,2006
2064.0,2006
2065.0,2006
2066.0,2006
2067.0,2006
2068.0,2006
2069.0,2006
2070.0,2006
2071.0,2006
2072.0,2006
2073.0,2006
2074.0,2006
2075.0,2006
2076.0,2006
2077.0,2006
2078.0,2006
2079.0,2006
2080.0,2006
2081.0,2006
2082.0,2006
2083.0,2006
2084.0,2006
2085.0,2006
2086.0,2006
2087.0,2006
2088.0,2006
2089.0,2006
2090.0,2006
2091.0,2006
2092.0,2006
2093.0,2006
2094.0,2006
2095.0,2006
2096.0,2006
2097.0,2006
2098.0,2006
2099.0,2006
2100.0,2006
2101.0,2006
2102.0,2006
2103.0,2007
2104.0,2007
2105.0,2007
2106.0,2007
2107.0,2007
2108.0,2007
2109.0,2007
2110.0,2007
2111.0,2007
2112.0,2007
2113.0,2007
2114.0,2007
2115.0,2007
2116.0,2007
2117.0,2007
2118.0,2007
2119.0,2007
2120.0,2007
2121.0,2007
2122.0,2007
2123.0,2007
2124.0,2007
2125.0,2007
2126.0,2007
2127.0,2007
2128.0,2007
2129.0,2007
2130.0,2007
2131.0,2007
2132.0,2007
2133.0,2007
2134.0,2007
2135.0,2007
2136.0,2007
2137.0,2007
2138.0,2007
2139.0,2007
2140.0,2007
2141.0,2007
2142.0,2007
2143.0,2007
2144.0,2007
2145.0,2007
2146.0,2007
2147.0,2007
2148.0,2007
2149.0,2007
2150.0,2007
2151.0,2007
2152.0,2007
2153.0,2007
2154.0,2007
2155.0,2007
2156.0,2007
2157.0,2007
2158.0,2007
2159.0,2007
2160.0,2007
2161.0,2007
2162.0,2007
2163.0,2007
2164.0,2007
2165.0,2007
2166.0,2007
2167.0,2007
2168.0,2007
2169.0,2007
2170.0,2007
2171.0,2007
2172.0,2007
2173.0,2007
2174.0,2007
2175.0,2007
2176.0,2007
2177.0,2007
2178.0,2007
2179.0,2007
2180.0,2007
2181.0,2007
2182.0,2007
2183.0,2007
2184.0,2007
2185.0,2007
2186.0,2007
2187.0,2007
2188.0,2007
2189.0,2007
2190.0,2007
2191.0,2007
2192.0,2007
2193.0,2007
2194.0,2007
2195.0,2007
2196.0,2007
2197.0,2007
2198.0,2007
2199.0,2007
2200.0,2007
2201.0,2007
2202.0,2007
2203.0,2008
2204.0,2008
2205.0,2008
2206.0,2008
2207.0,2008
2208.0,2008
2209.0,2008
2210.0,2008
2211.0,2008
2212.0,2008
2213.0,2008
2214.0,2008
2215.0,2008
2216.0,2008
2217.0,2008
2218.0,2008
2219.0,2008
2220.0,2008
2221.0,2008
2222.0,2008
2223.0,2008
2224.0,2008
2225.0,2008
2226.0,2008
2227.0,2008
2228.0,2008
2229.0,2008
2230.0,2008
2231.0,2008
2232.0,2008
2233.0,2008
2234.0,2008
2235.0,2008
2236.0,2008
2237.0,2008
2238.0,2008
2239.0,2008
2240.0,2008
2241.0,2008
2242.0,2008
2243.0,2008
2244.0,2008
2245.0,2008
2246.0,2008
2247.0,2008
