province,year,gdp,gdp_growth
山东,2017,63958.6,7.1286677632129924
山东,2018,67864.4,6.106762812194133
山东,2019,72024.3,6.129723389582775
山东,2020,74355.9,3.2372407645752777
山东,2021,84838.0,14.097200087686401
山东,2022,89519.4,5.5180461585610185
山东,2023,94206.4,5.235736611282027
山东,2024,98406.9,4.458826576538333
山西,2011,11005.1,
山西,2012,11819.7,7.402022698567023
山西,2013,12171.8,2.9789250150172863
山西,2014,12307.0,1.1107642255048678
山西,2015,12036.1,-2.201186316730308
山西,2016,12160.1,1.0302340459118708
山西,2017,14679.1,20.715290170311107
山西,2018,16153.1,10.04148755713905
山西,2019,17311.0,7.168283487380123
山西,2020,18202.7,5.151060019640696
山西,2021,23087.8,26.83722744428023
山西,2022,25653.2,11.11149611483122
山西,2023,26050.8,1.5499041055306861
山西,2024,25353.5,-2.6766932301503177
广东,2011,54009.6,
广东,2012,58057.6,7.494963858277037
广东,2013,63757.3,9.817319351816135
广东,2014,69593.4,9.153618487608473
广东,2015,75820.8,8.948262335221457
广东,2016,83493.4,10.119386764581728
广东,2017,93004.8,11.39179863318538
广东,2018,101875.9,9.538324903660866
广东,2019,110468.1,8.433986840852459
广东,2020,113708.9,2.933697601388996
广东,2021,127577.4,12.196494733481721
广东,2022,132547.1,3.895439160854508
广东,2023,137905.4,4.0425629832715915
广东,2024,141488.9,2.598520435022844
广西,2011,10472.7,
广西,2012,11496.6,9.776848377209312
广西,2013,12680.6,10.298697006071356
广西,2014,13856.7,9.274797722505257
广西,2015,15030.2,8.468827354276275
广西,2016,16417.2,9.228087450599464
广西,2017,18071.7,10.077845186755363
广西,2018,19951.7,10.403005804655896
广西,2019,21341.5,6.965822461243909
广西,2020,22250.7,4.260244125295798
广西,2021,25311.5,13.755971722237948
广西,2022,26419.7,4.378247041858452
广西,2023,27501.7,4.095428789880273
广西,2024,28694.1,4.335731972932577
新疆,2011,6607.6,
新疆,2012,7499.5,13.498093104909481
新疆,2013,8518.4,13.5862390826055
新疆,2014,9400.2,10.351709241172058
新疆,2015,9545.7,1.5478394076721802
新疆,2016,9913.9,3.857234147312383
新疆,2017,11460.8,15.603344798716945
新疆,2018,13110.1,14.390792963841982
新疆,2019,14024.9,6.977826256092623
新疆,2020,14262.2,1.6919906737302925
新疆,2021,16791.5,17.734290642397376
新疆,2022,18550.5,10.475538218741631
新疆,2023,19603.3,5.6753187245626835
新疆,2024,20492.4,4.535460866282737
江苏,2011,49689.5,
江苏,2012,54658.4,9.999899375119492
江苏,2013,60505.2,10.69698344627723
江苏,2014,66228.3,9.458856428868945
江苏,2015,71876.0,8.52762338758506
江苏,2016,78261.2,8.883632923368022
江苏,2017,86512.9,10.543794370645987
江苏,2018,93456.3,8.02585510368974
江苏,2019,99836.9,6.827362093299216
江苏,2020,104566.6,4.73742674301787
江苏,2021,119853.2,14.619008364047392
江苏,2022,124564.2,3.9306418184912983
